sat,channel,Unnamed: 0,epoch,snr
E04,1C,54,2024-05-10 18:00:00,52.0
E10,1C,58,2024-05-10 18:00:00,52.375
E11,1C,62,2024-05-10 18:00:00,48.188
E12,1C,66,2024-05-10 18:00:00,50.625
E19,1C,70,2024-05-10 18:00:00,49.875
E33,1C,74,2024-05-10 18:00:00,46.188
G02,1C,0,2024-05-10 18:00:00,48.438
G03,1C,4,2024-05-10 18:00:00,50.188
G04,1C,8,2024-05-10 18:00:00,50.5
G09,1C,12,2024-05-10 18:00:00,45.938
G17,1C,16,2024-05-10 18:00:00,47.0
G19,1C,20,2024-05-10 18:00:00,44.688
G21,1C,24,2024-05-10 18:00:00,45.063
G28,1C,28,2024-05-10 18:00:00,35.563
G31,1C,32,2024-05-10 18:00:00,43.625
E04,1C,834,2024-05-10 18:00:10,52.063
E10,1C,838,2024-05-10 18:00:10,52.375
E11,1C,842,2024-05-10 18:00:10,48.125
E12,1C,846,2024-05-10 18:00:10,50.625
E19,1C,850,2024-05-10 18:00:10,49.875
E33,1C,854,2024-05-10 18:00:10,46.063
G02,1C,780,2024-05-10 18:00:10,48.438
G03,1C,784,2024-05-10 18:00:10,50.188
G04,1C,788,2024-05-10 18:00:10,50.5
G09,1C,792,2024-05-10 18:00:10,46.063
G17,1C,796,2024-05-10 18:00:10,46.875
G19,1C,800,2024-05-10 18:00:10,44.875
G21,1C,804,2024-05-10 18:00:10,45.125
G28,1C,808,2024-05-10 18:00:10,36.0
G31,1C,812,2024-05-10 18:00:10,43.375
E04,1C,1614,2024-05-10 18:00:20,52.063
E10,1C,1618,2024-05-10 18:00:20,52.375
E11,1C,1622,2024-05-10 18:00:20,48.313
E12,1C,1626,2024-05-10 18:00:20,50.563
E19,1C,1630,2024-05-10 18:00:20,49.875
E33,1C,1634,2024-05-10 18:00:20,45.938
G02,1C,1560,2024-05-10 18:00:20,48.438
G03,1C,1564,2024-05-10 18:00:20,50.25
G04,1C,1568,2024-05-10 18:00:20,50.5
G09,1C,1572,2024-05-10 18:00:20,46.125
G17,1C,1576,2024-05-10 18:00:20,47.063
G19,1C,1580,2024-05-10 18:00:20,44.813
G21,1C,1584,2024-05-10 18:00:20,45.063
G28,1C,1588,2024-05-10 18:00:20,36.0
G31,1C,1592,2024-05-10 18:00:20,43.25
E04,1C,2394,2024-05-10 18:00:30,52.0
E10,1C,2398,2024-05-10 18:00:30,52.375
E11,1C,2402,2024-05-10 18:00:30,48.25
E12,1C,2406,2024-05-10 18:00:30,50.625
E19,1C,2410,2024-05-10 18:00:30,49.75
E33,1C,2414,2024-05-10 18:00:30,45.875
G02,1C,2340,2024-05-10 18:00:30,48.438
G03,1C,2344,2024-05-10 18:00:30,50.188
G04,1C,2348,2024-05-10 18:00:30,50.438
G09,1C,2352,2024-05-10 18:00:30,46.125
G17,1C,2356,2024-05-10 18:00:30,46.938
G19,1C,2360,2024-05-10 18:00:30,44.625
G21,1C,2364,2024-05-10 18:00:30,45.0
G28,1C,2368,2024-05-10 18:00:30,35.313
G31,1C,2372,2024-05-10 18:00:30,43.375
E04,1C,3174,2024-05-10 18:00:40,52.063
E10,1C,3178,2024-05-10 18:00:40,52.375
E11,1C,3182,2024-05-10 18:00:40,48.188
E12,1C,3186,2024-05-10 18:00:40,50.563
E19,1C,3190,2024-05-10 18:00:40,49.813
E33,1C,3194,2024-05-10 18:00:40,45.875
G02,1C,3120,2024-05-10 18:00:40,48.375
G03,1C,3124,2024-05-10 18:00:40,50.188
G04,1C,3128,2024-05-10 18:00:40,50.438
G09,1C,3132,2024-05-10 18:00:40,46.063
G17,1C,3136,2024-05-10 18:00:40,46.875
G19,1C,3140,2024-05-10 18:00:40,44.625
G21,1C,3144,2024-05-10 18:00:40,45.125
G28,1C,3148,2024-05-10 18:00:40,35.188
G31,1C,3152,2024-05-10 18:00:40,43.375
E04,1C,3954,2024-05-10 18:00:50,51.938
E10,1C,3958,2024-05-10 18:00:50,52.375
E11,1C,3962,2024-05-10 18:00:50,48.188
E12,1C,3966,2024-05-10 18:00:50,50.375
E19,1C,3970,2024-05-10 18:00:50,49.688
E33,1C,3974,2024-05-10 18:00:50,45.875
G02,1C,3900,2024-05-10 18:00:50,48.25
G03,1C,3904,2024-05-10 18:00:50,50.125
G04,1C,3908,2024-05-10 18:00:50,50.375
G09,1C,3912,2024-05-10 18:00:50,46.063
G17,1C,3916,2024-05-10 18:00:50,46.813
G19,1C,3920,2024-05-10 18:00:50,44.375
